Transcript ID, Fold Change, Target Gene, RefSeq, TargetScan
hsa-mir-361,-2.40987,LURAP1L,NM_203403,hsa-miR-361-5p
hsa-mir-361,-2.40987,VEGFA,NM_001025366,hsa-miR-361-5p
hsa-mir-361,-2.40987,SCAF8,NM_001286188,hsa-miR-361-5p
hsa-mir-361,-2.40987,STX7,NM_003569,hsa-miR-361-5p
hsa-mir-361,-2.40987,IL13RA1,NM_001560,hsa-miR-361-5p
hsa-mir-361,-2.40987,CAMK2D,uc003ibo.4,hsa-miR-361-5p
hsa-mir-361,-2.40987,MET,NM_000245,hsa-miR-361-5p
hsa-mir-361,-2.40987,GPR180,NM_180989,hsa-miR-361-5p
hsa-mir-361,-2.40987,RHOA,ENST00000418115,hsa-miR-361-5p
hsa-mir-361,-2.40987,BMPR2,NM_001204,hsa-miR-361-5p
hsa-mir-361,-2.40987,UBA6,NM_018227,hsa-miR-361-5p
hsa-mir-361,-2.40987,EHF,NM_001206615,hsa-miR-361-5p
hsa-mir-361,-2.40987,PTPRG,NM_002841,hsa-miR-361-5p
hsa-mir-361,-2.40987,CDK17,NM_001170464,hsa-miR-361-5p
hsa-mir-361,-2.40987,CDH1,NM_004360,hsa-miR-361-5p
hsa-mir-361,-2.40987,SMC2,NM_001042550,hsa-miR-361-5p
hsa-mir-361,-2.40987,DDX52,NM_001291476,hsa-miR-361-5p
hsa-mir-361,-2.40987,TMEM178B,NM_001195278,hsa-miR-361-5p
hsa-mir-361,-2.40987,LRIG2,NM_014813,hsa-miR-361-5p
hsa-mir-361,-2.40987,KPNA4,NM_002268,hsa-miR-361-5p
hsa-mir-361,-2.40987,CREBBP,NM_001079846,hsa-miR-361-5p
hsa-mir-361,-2.40987,TGFB2,NM_001135599,hsa-miR-361-5p
hsa-mir-361,-2.40987,IPO9,NM_018085,hsa-miR-361-5p
hsa-mir-361,-2.40987,CFL2,NM_001243645,hsa-miR-361-5p
hsa-mir-361,-2.40987,TMEM106B,NM_018374,hsa-miR-361-5p
hsa-mir-361,-2.40987,UHRF1BP1L,NM_001006947,hsa-miR-361-5p
hsa-mir-361,-2.40987,IPO7,NM_006391,hsa-miR-361-5p
hsa-mir-361,-2.40987,DIAPH2,NM_006729,hsa-miR-361-5p
hsa-mir-361,-2.40987,VEZF1,NM_007146,hsa-miR-361-5p
hsa-mir-361,-2.40987,DYRK3,ENST00000367106,hsa-miR-361-5p
hsa-mir-361,-2.40987,PRUNE2,NM_015225,hsa-miR-361-5p
hsa-mir-361,-2.40987,TROVE2,NM_001042369,hsa-miR-361-5p
hsa-mir-361,-2.40987,AGPS,NM_003659,hsa-miR-361-5p
hsa-mir-361,-2.40987,TGFB1,NM_000660,hsa-miR-361-5p
hsa-mir-361,-2.40987,TGFBR2,NM_001024847,hsa-miR-361-5p
hsa-mir-361,-2.40987,MTSS1L,NM_138383,hsa-miR-361-3p
hsa-mir-361,-2.40987,TMEM178B,NM_001195278,hsa-miR-361-3p
hsa-mir-361,-2.40987,KLK2,NM_001002231,hsa-miR-361-3p
hsa-mir-361,-2.40987,SLC7A5,NM_003486,hsa-miR-361-3p
hsa-mir-361,-2.40987,CTGF,NM_001901,hsa-miR-361-3p
hsa-mir-361,-2.40987,AJUBA,NM_032876,hsa-miR-361-3p
hsa-mir-361,-2.40987,ELK1,NM_001114123,hsa-miR-361-3p
hsa-mir-361,-2.40987,OPHN1,NM_002547,hsa-miR-361-3p
hsa-mir-361,-2.40987,ABI1,NM_001012750,hsa-miR-361-3p
hsa-mir-361,-2.40987,FOSL2,NM_005253,hsa-miR-361-3p
hsa-mir-361,-2.40987,CACNG8,NM_031895,hsa-miR-361-3p
hsa-mir-361,-2.40987,PTRF,NM_012232,hsa-miR-361-3p
hsa-mir-361,-2.40987,SLC1A5,NM_001145145,hsa-miR-361-3p
hsa-mir-361,-2.40987,PTDSS1,NM_014754,hsa-miR-361-3p
hsa-mir-361,-2.40987,ITPR2,NM_002223,hsa-miR-361-3p
hsa-mir-361,-2.40987,CLDN1,NM_021101,hsa-miR-361-3p
hsa-mir-361,-2.40987,EHF,NM_001206615,hsa-miR-361-3p
hsa-mir-361,-2.40987,MSN,NM_002444,hsa-miR-361-3p
hsa-mir-361,-2.40987,GPR135,ENST00000395116,hsa-miR-361-3p
hsa-mir-361,-2.40987,LIF,NM_001257135,hsa-miR-361-3p
hsa-mir-361,-2.40987,OGT,NM_181672,hsa-miR-361-3p
hsa-mir-361,-2.40987,POLR3C,NM_006468,hsa-miR-361-3p
hsa-mir-361,-2.40987,ARL4C,NM_001282431,hsa-miR-361-3p
hsa-mir-361,-2.40987,BCL6,NM_001706,hsa-miR-361-3p
hsa-mir-361,-2.40987,MCU,NM_001270679,hsa-miR-361-3p
hsa-mir-361,-2.40987,RRM2B,NM_001172477,hsa-miR-361-3p
hsa-mir-361,-2.40987,FAM135A,NM_001105531,hsa-miR-361-3p
hsa-mir-361,-2.40987,TNFRSF12A,NM_016639,hsa-miR-361-3p
hsa-mir-361,-2.40987,SRSF5,NM_001039465,hsa-miR-361-3p
hsa-mir-361,-2.40987,NFE2L3,NM_004289,hsa-miR-361-3p
hsa-mir-361,-2.40987,UGT8,ENST00000310836,hsa-miR-361-3p
