Column #,Column ID,gene_assignment,Gene Symbol,RefSeq,Ratio(C42B vs. E06),"Fold-Change
(C42B vs. E06)","Fold-Change(C42B vs. E06)
 (Description)"
36628,16990201,NR_026704 // VTRNA1-2 // vault RNA 1-2 // 5q31.3 // 56663 /// ENST00000365241 // VTRNA1,VTRNA1-2,NR_026704,0.00799026,-125.152,C42B down vs E06
50317,17119950,XR_424066 // LOC101059949 // ankyrin repeat domain-containing protein 20A2-like // --- ,LOC101059949,XR_424066,0.0100411,-99.5906,C42B down vs E06
17688,16798278,"NR_003296 // SNORD115-4 // small nucleolar RNA, C/D box 115-4 // 15q11.2 // 100033441 /",SNORD115-4,NR_003296,0.0120738,-82.8241,C42B down vs E06
17728,16798428,"NR_003296 // SNORD115-4 // small nucleolar RNA, C/D box 115-4 // 15q11.2 // 100033441 /",SNORD115-4,NR_003296,0.0120738,-82.8241,C42B down vs E06
17686,16798270,"NR_003297 // SNORD115-5 // small nucleolar RNA, C/D box 115-5 // 15q11.2 // 100033442 /",SNORD115-5,NR_003297,0.0120738,-82.8241,C42B down vs E06
17692,16798286,"NR_003297 // SNORD115-5 // small nucleolar RNA, C/D box 115-5 // 15q11.2 // 100033442 /",SNORD115-5,NR_003297,0.0120738,-82.8241,C42B down vs E06
17696,16798303,"NR_003297 // SNORD115-5 // small nucleolar RNA, C/D box 115-5 // 15q11.2 // 100033442 /",SNORD115-5,NR_003297,0.0120738,-82.8241,C42B down vs E06
17697,16798305,"NR_003297 // SNORD115-5 // small nucleolar RNA, C/D box 115-5 // 15q11.2 // 100033442 /",SNORD115-5,NR_003297,0.0120738,-82.8241,C42B down vs E06
17715,16798402,"NR_003297 // SNORD115-5 // small nucleolar RNA, C/D box 115-5 // 15q11.2 // 100033442 /",SNORD115-5,NR_003297,0.0120738,-82.8241,C42B down vs E06
17722,16798416,"NR_003297 // SNORD115-5 // small nucleolar RNA, C/D box 115-5 // 15q11.2 // 100033442 /",SNORD115-5,NR_003297,0.0120738,-82.8241,C42B down vs E06
17729,16798430,"NR_003297 // SNORD115-5 // small nucleolar RNA, C/D box 115-5 // 15q11.2 // 100033442 /",SNORD115-5,NR_003297,0.0120738,-82.8241,C42B down vs E06
17730,16798432,"NR_003359 // SNORD115-44 // small nucleolar RNA, C/D box 115-44 // 15q11.2 // 100033818",SNORD115-44,NR_003359,0.0128321,-77.9294,C42B down vs E06
11501,16738283,NM_001193471 // FOLH1 // folate hydrolase (prostate-specific membrane antigen) 1 // 11p,FOLH1,NM_001193471,0.0140473,-71.1879,C42B down vs E06
27926,16900800,"ENST00000364936 // RNU4-8P // RNA, U4 small nuclear 8, pseudogene // --- // ---",RNU4-8P,ENST00000364936,0.015515,-64.4537,C42B down vs E06
7744,16700713,"NR_002956 // SNORA14B // small nucleolar RNA, H/ACA box 14B // 1q42.3 // 677802 /// ENS",SNORA14B,NR_002956,0.0177716,-56.2694,C42B down vs E06
17708,16798345,"NR_003297 // SNORD115-5 // small nucleolar RNA, C/D box 115-5 // 15q11.2 // 100033442 /",SNORD115-5,NR_003297,0.0194634,-51.3786,C42B down vs E06
26645,16888229,NR_104319 // SCHLAP1 // SWI/SNF complex antagonist associated with prostate cancer 1 (n,SCHLAP1,NR_104319,0.0215664,-46.3683,C42B down vs E06
29070,16913572,"NR_002986 // SNORA60 // small nucleolar RNA, H/ACA box 60 // 20q11.23 // 677837 /// ENS",SNORA60,NR_002986,0.0258513,-38.6828,C42B down vs E06
17725,16798422,"NR_003297 // SNORD115-5 // small nucleolar RNA, C/D box 115-5 // 15q11.2 // 100033442 /",SNORD115-5,NR_003297,0.0266355,-37.5438,C42B down vs E06
17681,16798258,"NR_001291 // SNORD115-1 // small nucleolar RNA, C/D box 115-1 // 15q11.2 // 338433 /// ",SNORD115-1,NR_001291,0.0286458,-34.9091,C42B down vs E06
17702,16798333,"NR_001291 // SNORD115-1 // small nucleolar RNA, C/D box 115-1 // 15q11.2 // 338433 /// ",SNORD115-1,NR_001291,0.0286458,-34.9091,C42B down vs E06
23400,16855973,NM_001190807 // CYB5A // cytochrome b5 type A (microsomal) // 18q23 // 1528 /// NM_0019,CYB5A,NM_001190807,0.0288151,-34.7041,C42B down vs E06
17706,16798341,"NR_003312 // SNORD115-20 // small nucleolar RNA, C/D box 115-20 // 15q11.2 // 100033460",SNORD115-20,NR_003312,0.0290612,-34.4101,C42B down vs E06
13568,16760514,NR_003012 // SCARNA11 // small Cajal body-specific RNA 11 // 12p13.31 // 677780 /// ENS,SCARNA11,NR_003012,0.0300742,-33.2511,C42B down vs E06
36859,16992465,"NR_002988 // SNORA74B // small nucleolar RNA, H/ACA box 74B // 5q35.1 // 677841 /// ENS",SNORA74B,NR_002988,0.0318102,-31.4365,C42B down vs E06
48672,17110920,"NM_003785 // PAGE1 // P antigen family, member 1 (prostate associated) // Xp11.23 // 87",PAGE1,NM_003785,0.0332023,-30.1184,C42B down vs E06
11083,16734524,"NR_002982 // SNORA54 // small nucleolar RNA, H/ACA box 54 // 11p15.4 // 677833 /// ENST",SNORA54,NR_002982,0.0340633,-29.3571,C42B down vs E06
32384,16947148,NM_001251962 // ARHGEF26 // Rho guanine nucleotide exchange factor (GEF) 26 // 3q25.2 /,ARHGEF26,NM_001251962,0.0348403,-28.7024,C42B down vs E06
19768,16820486,"NM_004360 // CDH1 // cadherin 1, type 1, E-cadherin (epithelial) // 16q22.1 // 999 /// ",CDH1,NM_004360,0.0378489,-26.4208,C42B down vs E06
49991,17118852,"NR_003026 // SNORA1 // small nucleolar RNA, H/ACA box 1 // 11q21 // 677792 /// ENST0000",SNORA1,NR_003026,0.038951,-25.6733,C42B down vs E06
12080,16744240,NR_034154 // COLCA1 // colorectal cancer associated 1 // 11q23.1 // 399948 /// ENST0000,COLCA1,NR_034154,0.0404882,-24.6986,C42B down vs E06
21429,16837226,"NR_003706 // SNORA38B // small nucleolar RNA, H/ACA box 38B // 17q24.2 // 100124536 ///",SNORA38B,NR_003706,0.0421278,-23.7373,C42B down vs E06
28670,16909520,"NR_002921 // SNORA75 // small nucleolar RNA, H/ACA box 75 // 2q37.1 // 654321 /// ENST0",SNORA75,NR_002921,0.043432,-23.0245,C42B down vs E06
32540,16948967,"NR_003055 // SNORD66 // small nucleolar RNA, C/D box 66 // 3q27.1 // 692107 /// ENST000",SNORD66,NR_003055,0.045651,-21.9053,C42B down vs E06
8526,16707882,"ENST00000363858 // RNU6-271P // RNA, U6 small nuclear 271, pseudogene // --- // ---",RNU6-271P,ENST00000363858,0.0457009,-21.8814,C42B down vs E06
47911,17103626,NM_001098405 // GAGE12F // G antigen 12F // Xp11.23 // 100008586 /// NM_001098409 // GA,GAGE12F,NM_001098405,0.0459022,-21.7854,C42B down vs E06
29970,16921724,NM_004540 // NCAM2 // neural cell adhesion molecule 2 // 21q21.1 // 4685 /// XM_0067240,NCAM2,NM_004540,0.0462556,-21.619,C42B down vs E06
14351,16769106,"ENST00000384683 // RNU6-768P // RNA, U6 small nuclear 768, pseudogene // --- // ---",RNU6-768P,ENST00000384683,0.047198,-21.1874,C42B down vs E06
21510,16838101,"NR_004396 // SNORD1B // small nucleolar RNA, C/D box 1B // 17q25.1 // 677849 /// ENST00",SNORD1B,NR_004396,0.0499294,-20.0283,C42B down vs E06
10035,16722987,NM_001009909 // LUZP2 // leucine zipper protein 2 // 11p14.3 // 338645 /// NM_001252008,LUZP2,NM_001009909,0.0510635,-19.5835,C42B down vs E06
24249,16864616,NM_001030047 // KLK3 // kallikrein-related peptidase 3 // 19q13.41 // 354 /// uc002pts.,KLK3,NM_001030047,0.0510704,-19.5808,C42B down vs E06
27040,16892521,NR_003008 // SCARNA5 // small Cajal body-specific RNA 5 // 2q37.1 // 677775 /// ENST000,SCARNA5,NR_003008,0.0513427,-19.477,C42B down vs E06
10091,16723569,NM_001206615 // EHF // ets homologous factor // 11p12 // 26298 /// NM_001206616 // EHF ,EHF,NM_001206615,0.0521864,-19.1621,C42B down vs E06
17703,16798335,"NR_003309 // SNORD115-17 // small nucleolar RNA, C/D box 115-17 // 15q11.2 // 100033455",SNORD115-17,NR_003309,0.053484,-18.6972,C42B down vs E06
17704,16798337,"NR_003309 // SNORD115-17 // small nucleolar RNA, C/D box 115-17 // 15q11.2 // 100033455",SNORD115-17,NR_003309,0.053484,-18.6972,C42B down vs E06
17705,16798339,"NR_003309 // SNORD115-17 // small nucleolar RNA, C/D box 115-17 // 15q11.2 // 100033455",SNORD115-17,NR_003309,0.053484,-18.6972,C42B down vs E06
7112,16694357,"NR_002974 // SNORA80E // small nucleolar RNA, H/ACA box 80E // 1q22 // 677823 /// ENST0",SNORA80E,NR_002974,0.0543223,-18.4087,C42B down vs E06
21411,16837063,"NR_002995 // SNORA76C // small nucleolar RNA, H/ACA box 76C // 17q23.3 // 677842 /// EN",SNORA76C,NR_002995,0.0545703,-18.325,C42B down vs E06
