Column #,Column ID,Species Scientific Name,Transcript ID(Array Design),"Fold-Change
(Group 1 vs. Group 2)","Fold-Change
(Group 1 vs. Group 2) (Description)"
63,ACA11_st,Homo sapiens,ACA11,2.56224,Group 1 up vs Group 2
66,ACA13_st,Homo sapiens,ACA13,3.11273,Group 1 up vs Group 2
73,ACA18_x_st,Homo sapiens,ACA18,7.33752,Group 1 up vs Group 2
96,ACA32_st,Homo sapiens,ACA32,4.4766,Group 1 up vs Group 2
114,ACA40_x_st,Homo sapiens,ACA40,4.82353,Group 1 up vs Group 2
139,ACA57_st,Homo sapiens,ACA57,8.39403,Group 1 up vs Group 2
140,ACA57_x_st,Homo sapiens,ACA57,8.23175,Group 1 up vs Group 2
164,ACA7B_s_st,Homo sapiens,ACA7B,2.74433,Group 1 up vs Group 2
165,ACA7_s_st,Homo sapiens,ACA7,2.74433,Group 1 up vs Group 2
315,ENSG00000199411_s_st,Homo sapiens,ENSG00000199411,5.64854,Group 1 up vs Group 2
350,ENSG00000200026_x_st,Homo sapiens,ENSG00000200026,2.13117,Group 1 up vs Group 2
408,ENSG00000201009_s_st,Homo sapiens,ENSG00000201009,19.4008,Group 1 up vs Group 2
495,ENSG00000202252_st,Homo sapiens,ENSG00000202252,6.18988,Group 1 up vs Group 2
547,ENSG00000206913_s_st,Homo sapiens,ENSG00000206913,2.74433,Group 1 up vs Group 2
565,ENSG00000207098_st,Homo sapiens,ENSG00000207098,7.19694,Group 1 up vs Group 2
582,ENSG00000207217_st,Homo sapiens,ENSG00000207217,2.33361,Group 1 up vs Group 2
599,ENSG00000208308_x_st,Homo sapiens,ENSG00000208308,2.23494,Group 1 up vs Group 2
652,ENSG00000212378_s_st,Homo sapiens,ENSG00000212378,-3.16493,Group 1 down vs Group 2
657,ENSG00000212391_st,Homo sapiens,ENSG00000212391,2.39172,Group 1 up vs Group 2
734,ENSG00000221252_st,Homo sapiens,ENSG00000221252,3.51104,Group 1 up vs Group 2
804,ENSG00000238337_st,Homo sapiens,ENSG00000238337,2.035,Group 1 up vs Group 2
805,ENSG00000238337_x_st,Homo sapiens,ENSG00000238337,2.05561,Group 1 up vs Group 2
862,ENSG00000238433_st,Homo sapiens,ENSG00000238433,2.50503,Group 1 up vs Group 2
863,ENSG00000238433_x_st,Homo sapiens,ENSG00000238433,2.23494,Group 1 up vs Group 2
934,ENSG00000238541_st,Homo sapiens,ENSG00000238541,2.23494,Group 1 up vs Group 2
1030,ENSG00000238686_st,Homo sapiens,ENSG00000238686,-2.23494,Group 1 down vs Group 2
1110,ENSG00000238802_st,Homo sapiens,ENSG00000238802,2.035,Group 1 up vs Group 2
1249,ENSG00000239018_x_st,Homo sapiens,ENSG00000239018,-2.035,Group 1 down vs Group 2
1280,ENSG00000239063_st,Homo sapiens,ENSG00000239063,47.9794,Group 1 up vs Group 2
1281,ENSG00000239063_x_st,Homo sapiens,ENSG00000239063,23.4423,Group 1 up vs Group 2
1433,ENSG00000252014_st,Homo sapiens,ENSG00000252014,2.14869,Group 1 up vs Group 2
